ItemCode  ,Date                      ,Average_Cost,Average_Sales_Price,Total_Sales_Quantity,UPC          
1302102012,03/14/24,21.08,34.99,1,1115215688
1302102012,03/15/24,21.08,34.99,3,1115215688
1302102012,03/16/24,21.08,34.99,4,1115215688
1302102012,03/27/24,22,31.49,1,1115215688
1302102012,04/05/24,22,34.99,1,1115215688
1302102012,04/09/24,22,34.99,1,1115215688
1302102012,04/10/24,22,34.99,1,1115215688
1302102012,04/11/24,22,34.99,1,1115215688
1302102012,04/23/24,22,34.99,1,1115215688
1302102012,04/25/24,18,34.99,1,1115215688
1302102012,05/08/24,18,21.24,1,1115215688
1302102012,05/09/24,18,21.24,1,1115215688
1302102012,05/10/24,18,24.99,1,1115215688
1302102012,05/11/24,18,21.24,1,1115215688
1302102012,05/16/24,18,21.24,2,1115215688
1302102012,05/20/24,18,20.62,4,1115215688
1302102012,05/29/24,18,24.99,1,1115215688
1302102012,06/06/24,18,24.99,6,1115215688
1302102012,06/08/24,18,24.99,6,1115215688
1302102012,06/12/24,18,21.24,1,1115215688
1302102012,06/19/24,18,24.99,1,1115215688
1302102012,06/25/24,18,22.49,1,1115215688
1302102012,06/26/24,18,24.99,1,1115215688
1302102012,07/11/24,18,24.99,1,1115215688
1302102012,07/15/24,18,23.74,9,1115215688
1302102012,07/16/24,18,19.99,1,1115215688
1302102012,07/17/24,18,21.66,3,1115215688
1302102012,07/18/24,18,24.99,1,1115215688
1302102012,07/20/24,18,24.99,1,1115215688
1302102012,07/23/24,18,24.99,1,1115215688
1302102012,07/25/24,18,19.99,1,1115215688
1302102012,07/26/24,18,22.49,7,1115215688
1302102012,07/27/24,18,24.99,2,1115215688
1302102012,08/02/24,15,24.99,1,1115215688
1302102012,08/06/24,15,23.32,3,1115215688
1302102012,08/08/24,15,24.99,1,1115215688
1302102012,08/09/24,15,24.99,1,1115215688
1302102012,08/13/24,15,20.24,1,1115215688
1302102012,08/14/24,15,20.24,1,1115215688
1302102012,08/16/24,15,23.12,3,1115215688
1302102012,08/19/24,15,22.91,3,1115215688
1302102012,08/21/24,15,21.24,1,1115215688
1302102012,08/22/24,15,24.99,1,1115215688
1302102012,08/23/24,15,24.99,1,1115215688
1302102012,08/24/24,15,24.99,1,1115215688
1302102012,08/26/24,15,24.99,1,1115215688
1302102012,08/28/24,15,21.24,1,1115215688
1302102012,08/31/24,15,21.24,1,1115215688
1302102012,09/02/24,15,21.24,1,1115215688
1302102012,09/03/24,15,24.99,1,1115215688
1302102012,09/04/24,15,21.24,1,1115215688
1302102012,09/05/24,15,21.24,3,1115215688
1302102012,09/06/24,15,23.12,4,1115215688
1302102012,09/07/24,15,22.49,2,1115215688
1302102012,09/09/24,15,23.12,2,1115215688
1302102012,09/11/24,15,24.99,1,1115215688
1302102012,09/12/24,15,24.99,3,1115215688
1302102012,09/13/24,15,23.74,3,1115215688
1302102012,09/16/24,15,24.99,1,1115215688
1302102012,09/18/24,15,24.99,1,1115215688
1302102012,09/24/24,15,28.49,2,1115215688
1302102012,09/25/24,15,29.99,1,1115215688
1302102012,09/26/24,15,28.49,2,1115215688
1302102012,09/28/24,14.32,17.09,5,1115215688
1302102012,09/30/24,13.64,17.09,4,1115215688
1302102012,10/01/24,13.64,19.99,2,1115215688
1302102012,10/02/24,13.64,19.10,12,1115215688
1302102012,10/03/24,13.64,19.02,11,1115215688
1302102012,10/04/24,13.64,17.99,1,1115215688
1302102012,10/05/24,13.64,19.49,5,1115215688
1302102012,10/07/24,13.64,18.66,4,1115215688
1302102012,10/08/24,13.636775,18.37,15,1115215688
1302102012,10/09/24,13.64,17.74,4,1115215688
1302102012,10/10/24,13.63875,17.24,5,1115215688
1302102012,10/11/24,13.638333,18.99,4,1115215688
1302102012,10/12/24,13.6375,19.99,3,1115215688
1302102012,10/14/24,13.635833,17.49,9,1115215688
1302102012,10/15/24,13.635,18.49,4,1115215688
1302102012,10/19/24,13.63,16.99,1,1115215688
1302102039,03/14/24,32,39.99,7,6189821886
1302102039,03/18/24,32,39.99,2,6189821886
1302102039,03/19/24,32,39.99,2,6189821886
1302102039,03/20/24,32,39.99,1,6189821886
1302102039,03/21/24,32,35.99,1,6189821886
1302102039,03/22/24,30,39.99,1,6189821886
1302102039,03/27/24,30.153846,38.76,13,6189821886
1302102039,03/28/24,30,39.99,2,6189821886
1302102039,03/29/24,30,35.99,1,6189821886
1302102039,04/02/24,30,39.99,1,6189821886
1302102039,04/03/24,30,39.99,2,6189821886
1302102039,04/05/24,30,39.99,2,6189821886
1302102039,04/11/24,30,57.99,1,6189821886
1302102039,04/15/24,30,57.99,3,6189821886
1302102039,05/02/24,30,49.29,1,6189821886
1302102039,05/07/24,26,57.99,1,6189821886
1302102039,05/23/24,26,57.99,1,6189821886
1302102039,05/28/24,26,57.99,1,6189821886
1302102039,06/11/24,26,44.36,1,6189821886
1302102039,06/17/24,26,57.99,1,6189821886
1302102039,07/05/24,26,49.29,1,6189821886
1302102039,07/09/24,26,49.29,1,6189821886
1302102039,07/15/24,26,57.99,2,6189821886
1302102039,07/27/24,26,57.99,1,6189821886
1302102039,07/31/24,26,57.99,1,6189821886
1302102039,08/23/24,26,57.99,1,6189821886
1302102039,09/18/24,26,57.99,3,6189821886
1302102039,09/21/24,26,52.19,1,6189821886
1302102039,10/04/24,26,49.99,1,6189821886
1302102039,10/05/24,26,49.99,3,6189821886
1302102039,10/25/24,26,49.99,1,6189821886
1302102039,10/28/24,26,31.49,2,6189821886
1302102039,11/02/24,26,34.99,2,6189821886
1302102039,11/04/24,26,31.49,3,6189821886
1302102039,11/05/24,26,33.82,4,6189821886
1302102039,11/06/24,26,34.99,2,6189821886
1302102039,11/07/24,26,34.99,1,6189821886
1302102039,11/09/24,26,31.49,1,6189821886
1302102039,11/12/24,26,49.99,1,6189821886
1302102039,11/14/24,26,49.99,1,6189821886
1302102088,03/14/24,10.52,19.99,1,7323400303
1302102088,03/27/24,10.51,19.99,3,7323400303
1302102088,04/04/24,10.51,19.99,1,7323400303
1302102088,04/22/24,10.51,16.99,1,7323400303
1302102088,04/27/24,10.51,15.99,1,7323400303
1302102088,04/29/24,10.51,17.99,3,7323400303
1302102088,05/10/24,10.51,12.74,1,7323400303
1302102088,05/13/24,8.9925,12.37,3,7323400303
1302102088,05/14/24,8.995,12.74,2,7323400303
1302102088,05/18/24,8.99,12.74,1,7323400303
1302102088,05/20/24,8.99,11.99,1,7323400303
1302102088,05/22/24,8.995,14.99,2,7323400303
1302102088,05/27/24,8.99,13.49,1,7323400303
1302102088,05/29/24,8.993333,14.49,3,7323400303
1302102088,05/30/24,9,14.99,1,7323400303
1302102088,06/04/24,8.9925,13.49,4,7323400303
1302102088,06/05/24,8.995,14.99,2,7323400303
1302102088,06/06/24,8.991666,14.99,5,7323400303
1302102088,06/17/24,8.99,13.49,2,7323400303
1302102088,06/18/24,8.99,14.99,1,7323400303
1302102088,06/19/24,8.99,14.99,1,7323400303
1302102088,06/21/24,8.99,14.99,2,7323400303
1302102088,06/24/24,8.99,13.49,3,7323400303
1302102088,06/25/24,8.99,13.49,3,7323400303
1302102088,06/29/24,8.99,14.99,2,7323400303
1302102088,07/03/24,8.99,12.74,12,7323400303
1302102088,07/05/24,8.99,14.24,3,7323400303
1302102088,07/08/24,8.99,12.74,1,7323400303
